Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
441,,30.2 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,485 ppm,,,,11/02/2025 05:05:05 p. m.
442,,30.3 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,497 ppm,,,,11/02/2025 05:06:05 p. m.
443,,30.2 °C,19.4 °C,14.6 °C,38.8 %,0 ppm,495 ppm,,,,11/02/2025 05:07:05 p. m.
444,,30.2 °C,19.4 °C,14.6 °C,38.9 %,0 ppm,501 ppm,,,,11/02/2025 05:08:05 p. m.
445,,30.2 °C,19.4 °C,14.6 °C,38.9 %,1 ppm,492 ppm,,,,11/02/2025 05:09:05 p. m.
446,,30.3 °C,19.5 °C,14.7 °C,38.8 %,1 ppm,481 ppm,,,,11/02/2025 05:10:05 p. m.
447,,30.3 °C,19.5 °C,14.7 °C,38.9 %,1 ppm,488 ppm,,,,11/02/2025 05:11:05 p. m.
448,,30.2 °C,19.4 °C,14.6 °C,38.9 %,0 ppm,489 ppm,,,,11/02/2025 05:12:05 p. m.
449,,30.3 °C,19.5 °C,14.7 °C,38.9 %,1 ppm,482 ppm,,,,11/02/2025 05:13:05 p. m.
450,,30.2 °C,19.4 °C,14.6 °C,39.0 %,1 ppm,493 ppm,,,,11/02/2025 05:14:05 p. m.
451,,30.2 °C,19.4 °C,14.6 °C,39.0 %,1 ppm,482 ppm,,,,11/02/2025 05:15:05 p. m.
452,,30.2 °C,19.4 °C,14.6 °C,38.9 %,1 ppm,485 ppm,,,,11/02/2025 05:16:05 p. m.
453,,30.2 °C,19.4 °C,14.7 °C,39.0 %,1 ppm,484 ppm,,,,11/02/2025 05:17:05 p. m.
454,,30.3 °C,19.5 °C,14.7 °C,39.0 %,1 ppm,486 ppm,,,,11/02/2025 05:18:05 p. m.
455,,30.2 °C,19.4 °C,14.7 °C,39.0 %,0 ppm,485 ppm,,,,11/02/2025 05:19:05 p. m.
456,,30.2 °C,19.4 °C,14.7 °C,39.0 %,1 ppm,482 ppm,,,,11/02/2025 05:20:05 p. m.
457,,30.3 °C,19.5 °C,14.7 °C,39.0 %,1 ppm,484 ppm,,,,11/02/2025 05:21:05 p. m.
458,,30.3 °C,19.5 °C,14.7 °C,39.0 %,1 ppm,484 ppm,,,,11/02/2025 05:22:05 p. m.
459,,30.3 °C,19.5 °C,14.7 °C,39.0 %,0 ppm,486 ppm,,,,11/02/2025 05:23:05 p. m.
460,,30.3 °C,19.5 °C,14.7 °C,39.0 %,0 ppm,487 ppm,,,,11/02/2025 05:24:05 p. m.
461,,30.3 °C,19.5 °C,14.7 °C,39.0 %,1 ppm,489 ppm,,,,11/02/2025 05:25:05 p. m.
462,,30.3 °C,19.5 °C,14.7 °C,39.0 %,1 ppm,488 ppm,,,,11/02/2025 05:26:05 p. m.
463,,30.2 °C,19.4 °C,14.7 °C,39.0 %,1 ppm,486 ppm,,,,11/02/2025 05:27:05 p. m.
464,,30.2 °C,19.4 °C,14.7 °C,39.1 %,0 ppm,480 ppm,,,,11/02/2025 05:28:05 p. m.
465,,30.3 °C,19.5 °C,14.8 °C,39.1 %,1 ppm,476 ppm,,,,11/02/2025 05:29:05 p. m.
466,,30.3 °C,19.5 °C,14.8 °C,39.0 %,0 ppm,478 ppm,,,,11/02/2025 05:30:05 p. m.
467,,30.3 °C,19.5 °C,14.8 °C,39.0 %,1 ppm,489 ppm,,,,11/02/2025 05:31:05 p. m.
468,,30.3 °C,19.5 °C,14.8 °C,39.0 %,1 ppm,485 ppm,,,,11/02/2025 05:32:05 p. m.
469,,30.3 °C,19.5 °C,14.8 °C,39.0 %,0 ppm,494 ppm,,,,11/02/2025 05:33:05 p. m.
470,,30.3 °C,19.5 °C,14.8 °C,39.0 %,1 ppm,481 ppm,,,,11/02/2025 05:34:05 p. m.
471,,30.3 °C,19.5 °C,14.8 °C,39.1 %,0 ppm,485 ppm,,,,11/02/2025 05:35:05 p. m.
472,,30.2 °C,19.4 °C,14.7 °C,39.1 %,1 ppm,479 ppm,,,,11/02/2025 05:36:05 p. m.
473,,30.3 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,489 ppm,,,,11/02/2025 05:37:05 p. m.
474,,30.2 °C,19.4 °C,14.7 °C,39.2 %,0 ppm,494 ppm,,,,11/02/2025 05:38:05 p. m.
475,,30.3 °C,19.5 °C,14.8 °C,39.1 %,1 ppm,478 ppm,,,,11/02/2025 05:39:05 p. m.
476,,30.3 °C,19.5 °C,14.8 °C,39.2 %,0 ppm,480 ppm,,,,11/02/2025 05:40:05 p. m.
477,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,474 ppm,,,,11/02/2025 05:41:05 p. m.
478,,30.3 °C,19.5 °C,14.8 °C,39.2 %,0 ppm,488 ppm,,,,11/02/2025 05:42:05 p. m.
479,,30.3 °C,19.5 °C,14.8 °C,39.2 %,0 ppm,477 ppm,,,,11/02/2025 05:43:05 p. m.
480,,30.3 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,478 ppm,,,,11/02/2025 05:44:05 p. m.
481,,30.3 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,478 ppm,,,,11/02/2025 05:45:05 p. m.
482,,30.2 °C,19.4 °C,14.7 °C,39.2 %,1 ppm,467 ppm,,,,11/02/2025 05:46:05 p. m.
483,,30.3 °C,19.5 °C,14.8 °C,39.2 %,0 ppm,471 ppm,,,,11/02/2025 05:47:05 p. m.
484,,30.3 °C,19.5 °C,14.8 °C,39.1 %,1 ppm,484 ppm,,,,11/02/2025 05:48:05 p. m.
485,,30.3 °C,19.5 °C,14.8 °C,39.1 %,1 ppm,478 ppm,,,,11/02/2025 05:49:05 p. m.
486,,30.3 °C,19.5 °C,14.8 °C,39.0 %,1 ppm,473 ppm,,,,11/02/2025 05:50:05 p. m.
487,,30.3 °C,19.5 °C,14.8 °C,39.0 %,0 ppm,472 ppm,,,,11/02/2025 05:51:05 p. m.
488,,30.3 °C,19.5 °C,14.8 °C,39.1 %,0 ppm,487 ppm,,,,11/02/2025 05:52:05 p. m.
489,,30.2 °C,19.4 °C,14.7 °C,39.0 %,0 ppm,477 ppm,,,,11/02/2025 05:53:05 p. m.
490,,30.2 °C,19.5 °C,14.7 °C,39.0 %,0 ppm,485 ppm,,,,11/02/2025 05:54:05 p. m.
491,,30.3 °C,19.5 °C,14.8 °C,39.0 %,1 ppm,473 ppm,,,,11/02/2025 05:55:05 p. m.
492,,30.2 °C,19.4 °C,14.7 °C,39.1 %,1 ppm,468 ppm,,,,11/02/2025 05:56:05 p. m.
493,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,483 ppm,,,,11/02/2025 05:57:05 p. m.
494,,30.2 °C,19.5 °C,14.8 °C,39.3 %,0 ppm,470 ppm,,,,11/02/2025 05:58:05 p. m.
495,,30.2 °C,19.4 °C,14.7 °C,39.1 %,1 ppm,482 ppm,,,,11/02/2025 05:59:05 p. m.
496,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,462 ppm,,,,11/02/2025 06:00:05 p. m.
497,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,471 ppm,,,,11/02/2025 06:01:05 p. m.
498,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,471 ppm,,,,11/02/2025 06:02:05 p. m.
499,,30.2 °C,19.5 °C,14.8 °C,39.2 %,0 ppm,483 ppm,,,,11/02/2025 06:03:05 p. m.
500,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,477 ppm,,,,11/02/2025 06:04:05 p. m.
501,,30.2 °C,19.5 °C,14.8 °C,39.3 %,0 ppm,488 ppm,,,,11/02/2025 06:05:05 p. m.
502,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,478 ppm,,,,11/02/2025 06:06:05 p. m.
503,,30.2 °C,19.5 °C,14.8 °C,39.4 %,1 ppm,471 ppm,,,,11/02/2025 06:07:05 p. m.
504,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,476 ppm,,,,11/02/2025 06:08:05 p. m.
505,,30.1 °C,19.5 °C,14.8 °C,39.5 %,0 ppm,467 ppm,,,,11/02/2025 06:09:05 p. m.
506,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,468 ppm,,,,11/02/2025 06:10:05 p. m.
507,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,463 ppm,,,,11/02/2025 06:11:05 p. m.
508,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,478 ppm,,,,11/02/2025 06:12:05 p. m.
509,,30.1 °C,19.5 °C,14.8 °C,39.5 %,0 ppm,473 ppm,,,,11/02/2025 06:13:05 p. m.
510,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,478 ppm,,,,11/02/2025 06:14:05 p. m.
511,,30.1 °C,19.5 °C,14.8 °C,39.6 %,1 ppm,473 ppm,,,,11/02/2025 06:15:05 p. m.
512,,30.1 °C,19.5 °C,14.8 °C,39.4 %,1 ppm,471 ppm,,,,11/02/2025 06:16:05 p. m.
513,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,480 ppm,,,,11/02/2025 06:17:05 p. m.
514,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,472 ppm,,,,11/02/2025 06:18:05 p. m.
515,,30.1 °C,19.5 °C,14.8 °C,39.6 %,1 ppm,449 ppm,,,,11/02/2025 06:19:05 p. m.
516,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,467 ppm,,,,11/02/2025 06:20:05 p. m.
517,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,468 ppm,,,,11/02/2025 06:21:05 p. m.
518,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,479 ppm,,,,11/02/2025 06:22:05 p. m.
519,,30.2 °C,19.5 °C,14.8 °C,39.4 %,1 ppm,472 ppm,,,,11/02/2025 06:23:05 p. m.
520,,30.2 °C,19.5 °C,14.8 °C,39.3 %,0 ppm,470 ppm,,,,11/02/2025 06:24:05 p. m.
521,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,470 ppm,,,,11/02/2025 06:25:05 p. m.
522,,30.1 °C,19.5 °C,14.8 °C,39.6 %,0 ppm,477 ppm,,,,11/02/2025 06:26:05 p. m.
523,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,471 ppm,,,,11/02/2025 06:27:05 p. m.
524,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,483 ppm,,,,11/02/2025 06:28:05 p. m.
525,,30.1 °C,19.5 °C,14.8 °C,39.4 %,1 ppm,475 ppm,,,,11/02/2025 06:29:05 p. m.
526,,30.1 °C,19.5 °C,14.8 °C,39.4 %,1 ppm,464 ppm,,,,11/02/2025 06:30:05 p. m.
527,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,467 ppm,,,,11/02/2025 06:31:05 p. m.
528,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,469 ppm,,,,11/02/2025 06:32:05 p. m.
529,,30.1 °C,19.5 °C,14.8 °C,39.6 %,1 ppm,470 ppm,,,,11/02/2025 06:33:05 p. m.
530,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,481 ppm,,,,11/02/2025 06:34:05 p. m.
531,,30.1 °C,19.5 °C,14.8 °C,39.5 %,0 ppm,472 ppm,,,,11/02/2025 06:35:05 p. m.
532,,30.1 °C,19.5 °C,14.8 °C,39.5 %,0 ppm,476 ppm,,,,11/02/2025 06:36:05 p. m.
533,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,471 ppm,,,,11/02/2025 06:37:05 p. m.
534,,30.1 °C,19.5 °C,14.8 °C,39.5 %,0 ppm,467 ppm,,,,11/02/2025 06:38:05 p. m.
535,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,480 ppm,,,,11/02/2025 06:39:05 p. m.
536,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,476 ppm,,,,11/02/2025 06:40:05 p. m.
537,,30.2 °C,19.5 °C,14.8 °C,39.4 %,0 ppm,470 ppm,,,,11/02/2025 06:41:05 p. m.
538,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,478 ppm,,,,11/02/2025 06:42:05 p. m.
539,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,473 ppm,,,,11/02/2025 06:43:05 p. m.
540,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,471 ppm,,,,11/02/2025 06:44:05 p. m.
541,,30.1 °C,19.5 °C,14.8 °C,39.5 %,0 ppm,470 ppm,,,,11/02/2025 06:45:05 p. m.
542,,30.1 °C,19.5 °C,14.8 °C,39.6 %,1 ppm,467 ppm,,,,11/02/2025 06:46:05 p. m.
543,,30.1 °C,19.5 °C,14.8 °C,39.5 %,1 ppm,477 ppm,,,,11/02/2025 06:47:05 p. m.
544,,30.1 °C,19.5 °C,14.8 °C,39.5 %,0 ppm,481 ppm,,,,11/02/2025 06:48:05 p. m.
545,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,481 ppm,,,,11/02/2025 06:49:05 p. m.
546,,30.1 °C,19.5 °C,14.8 °C,39.6 %,1 ppm,468 ppm,,,,11/02/2025 06:50:05 p. m.
547,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,459 ppm,,,,11/02/2025 06:51:05 p. m.
548,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,472 ppm,,,,11/02/2025 06:52:05 p. m.
549,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,465 ppm,,,,11/02/2025 06:53:05 p. m.
550,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,470 ppm,,,,11/02/2025 06:54:05 p. m.
551,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,474 ppm,,,,11/02/2025 06:55:05 p. m.
552,,30.1 °C,19.4 °C,14.7 °C,39.3 %,0 ppm,470 ppm,,,,11/02/2025 06:56:05 p. m.
553,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,478 ppm,,,,11/02/2025 06:57:05 p. m.
554,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,474 ppm,,,,11/02/2025 06:58:05 p. m.
555,,30.1 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,466 ppm,,,,11/02/2025 06:59:05 p. m.
556,,30.1 °C,19.4 °C,14.7 °C,39.4 %,0 ppm,459 ppm,,,,11/02/2025 07:00:05 p. m.
557,,30.1 °C,19.4 °C,14.7 °C,39.4 %,0 ppm,473 ppm,,,,11/02/2025 07:01:05 p. m.
558,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,478 ppm,,,,11/02/2025 07:02:05 p. m.
559,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,474 ppm,,,,11/02/2025 07:03:05 p. m.
560,,30.2 °C,19.5 °C,14.8 °C,39.4 %,1 ppm,463 ppm,,,,11/02/2025 07:04:05 p. m.
561,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,466 ppm,,,,11/02/2025 07:05:05 p. m.
562,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,469 ppm,,,,11/02/2025 07:06:05 p. m.
563,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,467 ppm,,,,11/02/2025 07:07:05 p. m.
564,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,477 ppm,,,,11/02/2025 07:08:05 p. m.
565,,30.2 °C,19.5 °C,14.8 °C,39.3 %,0 ppm,456 ppm,,,,11/02/2025 07:09:05 p. m.
566,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,470 ppm,,,,11/02/2025 07:10:05 p. m.
567,,30.2 °C,19.5 °C,14.8 °C,39.4 %,0 ppm,472 ppm,,,,11/02/2025 07:11:05 p. m.
568,,30.2 °C,19.5 °C,14.8 °C,39.4 %,1 ppm,469 ppm,,,,11/02/2025 07:12:05 p. m.
569,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,473 ppm,,,,11/02/2025 07:13:05 p. m.
570,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,474 ppm,,,,11/02/2025 07:14:05 p. m.
571,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,467 ppm,,,,11/02/2025 07:15:05 p. m.
572,,30.2 °C,19.5 °C,14.8 °C,39.3 %,0 ppm,475 ppm,,,,11/02/2025 07:16:05 p. m.
573,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,466 ppm,,,,11/02/2025 07:17:05 p. m.
574,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,461 ppm,,,,11/02/2025 07:18:05 p. m.
575,,30.2 °C,19.5 °C,14.8 °C,39.3 %,1 ppm,472 ppm,,,,11/02/2025 07:19:05 p. m.
576,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,452 ppm,,,,11/02/2025 07:20:05 p. m.
577,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,458 ppm,,,,11/02/2025 07:21:05 p. m.
578,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,480 ppm,,,,11/02/2025 07:22:05 p. m.
579,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,472 ppm,,,,11/02/2025 07:23:05 p. m.
580,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,466 ppm,,,,11/02/2025 07:24:05 p. m.
581,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,482 ppm,,,,11/02/2025 07:25:05 p. m.
582,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,474 ppm,,,,11/02/2025 07:26:05 p. m.
583,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,466 ppm,,,,11/02/2025 07:27:05 p. m.
584,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,471 ppm,,,,11/02/2025 07:28:05 p. m.
585,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,470 ppm,,,,11/02/2025 07:29:05 p. m.
586,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,464 ppm,,,,11/02/2025 07:30:05 p. m.
587,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,466 ppm,,,,11/02/2025 07:31:05 p. m.
588,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,461 ppm,,,,11/02/2025 07:32:05 p. m.
589,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,460 ppm,,,,11/02/2025 07:33:05 p. m.
590,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,470 ppm,,,,11/02/2025 07:34:05 p. m.
591,,30.2 °C,19.4 °C,14.7 °C,39.2 %,1 ppm,463 ppm,,,,11/02/2025 07:35:05 p. m.
592,,30.2 °C,19.5 °C,14.7 °C,39.2 %,0 ppm,461 ppm,,,,11/02/2025 07:36:05 p. m.
593,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,471 ppm,,,,11/02/2025 07:37:05 p. m.
594,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,471 ppm,,,,11/02/2025 07:38:05 p. m.
595,,30.2 °C,19.4 °C,14.7 °C,39.2 %,1 ppm,458 ppm,,,,11/02/2025 07:39:05 p. m.
596,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,471 ppm,,,,11/02/2025 07:40:05 p. m.
597,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,466 ppm,,,,11/02/2025 07:41:05 p. m.
598,,30.2 °C,19.4 °C,14.7 °C,39.2 %,1 ppm,462 ppm,,,,11/02/2025 07:42:05 p. m.
599,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,470 ppm,,,,11/02/2025 07:43:05 p. m.
600,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,464 ppm,,,,11/02/2025 07:44:05 p. m.
601,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,471 ppm,,,,11/02/2025 07:45:05 p. m.
602,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,464 ppm,,,,11/02/2025 07:46:05 p. m.
603,,30.2 °C,19.5 °C,14.7 °C,39.2 %,1 ppm,458 ppm,,,,11/02/2025 07:47:05 p. m.
604,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,465 ppm,,,,11/02/2025 07:48:05 p. m.
605,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,473 ppm,,,,11/02/2025 07:49:05 p. m.
606,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,466 ppm,,,,11/02/2025 07:50:05 p. m.
607,,30.2 °C,19.5 °C,14.8 °C,39.2 %,1 ppm,454 ppm,,,,11/02/2025 07:51:05 p. m.
608,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,456 ppm,,,,11/02/2025 07:52:05 p. m.
609,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,459 ppm,,,,11/02/2025 07:53:05 p. m.
610,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,474 ppm,,,,11/02/2025 07:54:05 p. m.
611,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,466 ppm,,,,11/02/2025 07:55:05 p. m.
612,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,455 ppm,,,,11/02/2025 07:56:05 p. m.
613,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,468 ppm,,,,11/02/2025 07:57:05 p. m.
614,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,454 ppm,,,,11/02/2025 07:58:05 p. m.
615,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,449 ppm,,,,11/02/2025 07:59:05 p. m.
616,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,462 ppm,,,,11/02/2025 08:00:05 p. m.
617,,30.1 °C,19.4 °C,14.7 °C,39.3 %,0 ppm,467 ppm,,,,11/02/2025 08:01:05 p. m.
618,,30.1 °C,19.4 °C,14.7 °C,39.3 %,1 ppm,460 ppm,,,,11/02/2025 08:02:05 p. m.
619,,30.1 °C,19.4 °C,14.7 °C,39.3 %,0 ppm,463 ppm,,,,11/02/2025 08:03:05 p. m.
620,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,459 ppm,,,,11/02/2025 08:04:05 p. m.
621,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,449 ppm,,,,11/02/2025 08:05:05 p. m.
622,,30.1 °C,19.4 °C,14.7 °C,39.4 %,0 ppm,453 ppm,,,,11/02/2025 08:06:05 p. m.
623,,30.1 °C,19.4 °C,14.7 °C,39.4 %,0 ppm,460 ppm,,,,11/02/2025 08:07:05 p. m.
624,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,461 ppm,,,,11/02/2025 08:08:05 p. m.
625,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,470 ppm,,,,11/02/2025 08:09:05 p. m.
626,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,463 ppm,,,,11/02/2025 08:10:05 p. m.
627,,30.1 °C,19.4 °C,14.7 °C,39.4 %,1 ppm,461 ppm,,,,11/02/2025 08:11:05 p. m.
628,,30.0 °C,19.3 °C,14.6 °C,39.4 %,0 ppm,463 ppm,,,,11/02/2025 08:12:05 p. m.
629,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,464 ppm,,,,11/02/2025 08:13:05 p. m.
630,,30.0 °C,19.4 °C,14.7 °C,39.5 %,0 ppm,464 ppm,,,,11/02/2025 08:14:05 p. m.
631,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,458 ppm,,,,11/02/2025 08:15:05 p. m.
632,,30.0 °C,19.3 °C,14.6 °C,39.4 %,1 ppm,463 ppm,,,,11/02/2025 08:16:05 p. m.
633,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,471 ppm,,,,11/02/2025 08:17:05 p. m.
634,,30.0 °C,19.4 °C,14.7 °C,39.5 %,0 ppm,457 ppm,,,,11/02/2025 08:18:05 p. m.
635,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,458 ppm,,,,11/02/2025 08:19:05 p. m.
636,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,459 ppm,,,,11/02/2025 08:20:05 p. m.
637,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,458 ppm,,,,11/02/2025 08:21:05 p. m.
638,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,447 ppm,,,,11/02/2025 08:22:05 p. m.
639,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,457 ppm,,,,11/02/2025 08:23:05 p. m.
640,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,455 ppm,,,,11/02/2025 08:24:05 p. m.
641,,30.0 °C,19.4 °C,14.7 °C,39.5 %,0 ppm,456 ppm,,,,11/02/2025 08:25:05 p. m.
642,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,455 ppm,,,,11/02/2025 08:26:05 p. m.
643,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,474 ppm,,,,11/02/2025 08:27:05 p. m.
644,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,466 ppm,,,,11/02/2025 08:28:05 p. m.
645,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,474 ppm,,,,11/02/2025 08:29:05 p. m.
646,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,462 ppm,,,,11/02/2025 08:30:05 p. m.
647,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,460 ppm,,,,11/02/2025 08:31:05 p. m.
648,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,468 ppm,,,,11/02/2025 08:32:05 p. m.
649,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,455 ppm,,,,11/02/2025 08:33:05 p. m.
650,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,460 ppm,,,,11/02/2025 08:34:05 p. m.
651,,30.0 °C,19.4 °C,14.7 °C,39.5 %,0 ppm,463 ppm,,,,11/02/2025 08:35:05 p. m.
652,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,458 ppm,,,,11/02/2025 08:36:05 p. m.
653,,30.0 °C,19.4 °C,14.7 °C,39.5 %,0 ppm,462 ppm,,,,11/02/2025 08:37:05 p. m.
654,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,457 ppm,,,,11/02/2025 08:38:05 p. m.
655,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,445 ppm,,,,11/02/2025 08:39:05 p. m.
656,,29.9 °C,19.3 °C,14.6 °C,39.5 %,1 ppm,460 ppm,,,,11/02/2025 08:40:05 p. m.
657,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,466 ppm,,,,11/02/2025 08:41:05 p. m.
658,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,455 ppm,,,,11/02/2025 08:42:05 p. m.
659,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,450 ppm,,,,11/02/2025 08:43:05 p. m.
660,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,455 ppm,,,,11/02/2025 08:44:05 p. m.
661,,30.0 °C,19.4 °C,14.7 °C,39.5 %,1 ppm,458 ppm,,,,11/02/2025 08:45:05 p. m.
